TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_H.regenerating,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,1,10,10.0,0.0,10000.0,1.0,1.0,6.2870001792907715,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,4,40,10.0,0.0,10000.0,1.0,1.0,3.5929999351501465,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,11,110,10.0,0.0,10000.0,1.0,1.0,2.7269999980926514,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,17,170,10.0,0.0,10000.0,1.0,1.0,30.65399932861328,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,18,180,10.0,0.0,10000.0,1.0,1.0,2.6489999294281006,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,19,190,10.0,0.0,10000.0,1.0,1.0,3.447999954223633,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,20,200,10.0,0.0,10000.0,1.0,1.0,2.7269999980926514,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,21,210,10.0,0.0,10000.0,1.0,1.0,16.829999923706055,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,22,220,10.0,0.0,10000.0,1.0,1.0,25.875999450683594,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,24,240,10.0,0.0,10000.0,1.0,1.0,6.2870001792907715,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,28,280,10.0,0.0,10000.0,1.0,1.0,2.2290000915527344,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,29,290,10.0,0.0,10000.0,1.0,1.0,2.7269999980926514,0.0
feature.Seral.CWHvm_HW_CW_H.regenerating,30,300,10.0,0.0,10000.0,1.0,1.0,11.61400032043457,0.0
